date, category, entityName, count, amount
2024-1Q,pincodes,560076,2776,4596888.0
2024-1Q,pincodes,560037,2685,3989582.0
2024-1Q,pincodes,560043,2655,4698522.0
2024-1Q,pincodes,560078,2621,4342390.0
2024-1Q,pincodes,122001,2542,3582671.0
2024-1Q,pincodes,201301,2451,3288770.0
2024-1Q,pincodes,411057,2366,3619740.0
2024-1Q,pincodes,500072,2338,3847111.0
2024-1Q,pincodes,560100,2288,3663878.0
2021-4Q,states,maharashtra,82423,93262227.0
2021-4Q,states,karnataka,74436,90723288.0
2021-4Q,states,uttar pradesh,44132,59654951.0
2021-4Q,states,telangana,34848,38845492.0
2021-4Q,states,delhi,34251,36578331.0
2021-4Q,states,tamil nadu,33037,42184290.0
2021-4Q,states,west bengal,26320,31282871.0
2021-4Q,states,andhra pradesh,25423,31610335.0
2021-4Q,states,bihar,22456,27313813.0
2021-4Q,states,haryana,19489,25885838.0
2021-4Q,districts,bengaluru urban,44650,50064816.0
2021-4Q,districts,pune,16039,18693479.0
2021-4Q,districts,thane,13362,13856390.0
2021-4Q,districts,mumbai suburban,9319,9168680.0
2021-4Q,districts,hyderabad,7016,7001072.0
2021-4Q,districts,rangareddy,6835,7932450.0
2021-4Q,districts,medchal malkajgiri,6553,7341035.0
2021-4Q,districts,gurugram,5951,6492219.0
2021-4Q,districts,chennai,5769,6143037.0
2021-4Q,districts,jaipur,5571,6278712.0
2021-4Q,pincodes,560068,1839,1905289.0
2021-4Q,pincodes,110059,1509,1603319.0
2021-4Q,pincodes,421301,1473,1157196.0
2021-4Q,pincodes,421302,1471,1338786.0
2021-4Q,pincodes,560078,1372,1472700.0
2021-4Q,pincodes,560076,1308,1508537.0
2021-4Q,pincodes,560043,1285,1483440.0
2021-4Q,pincodes,560058,1237,1231686.0
2021-4Q,pincodes,110086,1220,1265728.0
2021-4Q,pincodes,560091,1201,1265605.0
2021-3Q,states,maharashtra,52268,41313307.0
2021-3Q,states,karnataka,47468,48078366.0
2021-3Q,states,uttar pradesh,32799,32641118.0
2021-3Q,states,telangana,27080,20925217.0
2021-3Q,states,west bengal,24839,21424337.0
2021-3Q,states,tamil nadu,23107,23402918.0
2021-3Q,states,andhra pradesh,23075,19914338.0
2021-3Q,states,bihar,18030,18234941.0
2021-3Q,states,delhi,16679,15007079.0
2021-3Q,states,rajasthan,16643,12793862.0
2021-3Q,districts,bengaluru urban,27498,26210017.0
2021-3Q,districts,pune,9943,8127896.0
2021-3Q,districts,thane,7829,6194341.0
2021-3Q,districts,mumbai suburban,5520,4552921.0
2021-3Q,districts,hyderabad,5201,3813732.0
2021-3Q,districts,rangareddy,5064,4209112.0
2021-3Q,districts,medchal malkajgiri,4896,3968450.0
2021-3Q,districts,kolkata,4808,3468389.0
2021-3Q,districts,gurugram,4501,3651728.0
2021-3Q,districts,chennai,4367,3861435.0
2021-3Q,pincodes,712138,1350,480755.0
2021-3Q,pincodes,421301,1176,670772.0
2021-3Q,pincodes,560068,1126,984821.0
2021-3Q,pincodes,421302,1001,736789.0
2021-3Q,pincodes,122001,866,704138.0
2021-3Q,pincodes,201301,846,600065.0
2021-3Q,pincodes,560058,841,725815.0
2021-3Q,pincodes,122006,806,481888.0
2021-3Q,pincodes,500072,803,638626.0
2021-3Q,pincodes,560043,800,743863.0
2021-2Q,states,maharashtra,70381,46763103.0
2021-2Q,states,karnataka,40969,39501006.0
2021-2Q,states,andhra pradesh,33205,22730687.0
2021-2Q,states,telangana,28870,20935651.0
2021-2Q,states,uttar pradesh,25952,25137571.0
2021-2Q,states,rajasthan,18281,14357445.0
2021-2Q,states,tamil nadu,17682,16444344.0
2021-2Q,states,west bengal,15200,12396029.0
2021-2Q,states,madhya pradesh,14803,9787391.0
2021-2Q,states,gujarat,14676,10263998.0
2021-2Q,districts,bengaluru urban,21918,19572756.0
2021-2Q,districts,pune,14949,9422249.0
2021-2Q,districts,thane,7446,5734857.0
2021-2Q,districts,rangareddy,5618,4515303.0
2021-2Q,districts,hyderabad,5616,3945773.0
2021-2Q,districts,prakasam,5308,2719134.0
2021-2Q,districts,mumbai suburban,5293,3659655.0
2021-2Q,districts,medchal malkajgiri,5094,3743459.0
2021-2Q,districts,visakhapatnam,4655,3497573.0
2021-2Q,districts,nashik,4607,2827696.0
2021-2Q,pincodes,523002,1409,631953.0
2021-2Q,pincodes,110042,1036,537398.0
2021-2Q,pincodes,560068,982,719927.0
2021-2Q,pincodes,410501,948,578550.0
2021-2Q,pincodes,500072,915,574372.0
2021-2Q,pincodes,421302,783,586297.0
2021-2Q,pincodes,712138,724,263805.0
2021-2Q,pincodes,411033,722,405598.0
2021-2Q,pincodes,560076,719,556220.0
2021-2Q,pincodes,412105,713,452166.0
2021-1Q,states,maharashtra,55792,33137753.0
2021-1Q,states,karnataka,37595,30183325.0
2021-1Q,states,telangana,28298,14810947.0
2021-1Q,states,uttar pradesh,24103,18027573.0
2021-1Q,states,andhra pradesh,22105,12749874.0
2021-1Q,states,rajasthan,17800,8074225.0
