date, category, entityName, count, amount
2021-3Q,districts,hyderabad,262028284,479343321365.3726
2021-3Q,districts,jaipur,193839196,313664435689.29987
2021-3Q,districts,bhopal,103403998,146735124186.2163
2021-3Q,districts,central delhi,88849847,137311394953.58371
2021-3Q,districts,rangareddy,87884143,147772047919.14047
2021-3Q,districts,medchal malkajgiri,79514766,130838255095.6952
2021-3Q,districts,khordha,71647985,108452202806.23244
2021-3Q,districts,visakhapatnam,69220981,136945652159.26515
2021-3Q,pincodes,500001,173430239,335290201877.6652
2021-3Q,pincodes,560001,171396431,241306340924.00638
2021-3Q,pincodes,411004,155523883,217400690972.0777
2021-3Q,pincodes,302016,108659324,179936124302.00922
2021-3Q,pincodes,110006,77515502,117511789786.64261
2021-3Q,pincodes,462008,74987334,111259178579.96481
2021-3Q,pincodes,800001,49086869,90644799090.27641
2021-3Q,pincodes,444510,45378525,84950919432.04364
2021-3Q,pincodes,600003,42982007,71274098295.90457
2021-3Q,pincodes,751001,41875475,65849220632.325775
2021-2Q,states,maharashtra,573616486,915115055623.7152
2021-2Q,states,karnataka,530649046,837887151230.051
2021-2Q,states,telangana,495867544,1027958332797.5903
2021-2Q,states,andhra pradesh,352767134,850737499108.2987
2021-2Q,states,rajasthan,287477039,561702765169.2324
2021-2Q,states,uttar pradesh,241949131,482172489166.39343
2021-2Q,states,madhya pradesh,223314680,425500768035.631
2021-2Q,states,delhi,170157264,281941097684.5416
2021-2Q,states,bihar,155603622,374580255186.58875
2021-2Q,states,tamil nadu,146158442,263487341026.54623
2021-2Q,districts,bengaluru urban,326804307,444422398357.67755
2021-2Q,districts,pune,218732925,298657497266.993
2021-2Q,districts,hyderabad,212326623,424872741465.13696
2021-2Q,districts,jaipur,137247139,248390977964.5579
2021-2Q,districts,bhopal,74643630,127038866031.39793
2021-2Q,districts,rangareddy,63155281,113987187628.93881
2021-2Q,districts,central delhi,62131856,100895875737.76093
2021-2Q,districts,medchal malkajgiri,58755991,102864360004.68025
2021-2Q,districts,visakhapatnam,54390299,114439012713.35336
2021-2Q,districts,patna,53400850,114936398151.99364
2021-2Q,pincodes,500001,148864777,315432046413.6635
2021-2Q,pincodes,560001,123224371,183498284704.3348
2021-2Q,pincodes,411004,120795663,186134320440.93646
2021-2Q,pincodes,302016,81782827,152295120262.96942
2021-2Q,pincodes,462008,57596018,101902493881.58667
2021-2Q,pincodes,110006,54888173,88849307061.74399
2021-2Q,pincodes,800001,42836603,91781680811.21812
2021-2Q,pincodes,600003,31694305,54282023022.639435
2021-2Q,pincodes,751001,30961581,53565783087.01067
2021-2Q,pincodes,700009,30775525,59587220231.94326
2021-1Q,states,karnataka,523797492,754995357412.3948
2021-1Q,states,maharashtra,517860240,769887352153.2483
2021-1Q,states,telangana,412572110,799359264046.5657
2021-1Q,states,andhra pradesh,289747970,672444670176.5881
2021-1Q,states,rajasthan,252730919,491492581657.63354
2021-1Q,states,uttar pradesh,204499547,396287587577.55756
2021-1Q,states,madhya pradesh,201998498,343533954382.3015
2021-1Q,states,delhi,157359004,266928345043.49225
2021-1Q,states,tamil nadu,136556674,248668143873.65317
2021-1Q,states,west bengal,118254052,242937207475.51984
2021-1Q,districts,bengaluru urban,348712787,432401341231.7671
2021-1Q,districts,pune,208930588,253623629237.65796
2021-1Q,districts,hyderabad,169703372,316572388133.7874
2021-1Q,districts,jaipur,125917532,223771205713.25284
2021-1Q,districts,bhopal,67309234,101725720745.41443
2021-1Q,districts,rangareddy,60675056,98883148961.30931
2021-1Q,districts,medchal malkajgiri,54854446,87516738646.29623
2021-1Q,districts,central delhi,54173342,90711721159.77658
2021-1Q,districts,mumbai suburban,49079788,75911506798.24135
2021-1Q,districts,visakhapatnam,48248923,95308386037.8472
2021-1Q,pincodes,560001,111898471,154275126291.57785
2021-1Q,pincodes,500001,107274281,218270126529.36053
2021-1Q,pincodes,411004,99287169,142692099313.18896
2021-1Q,pincodes,302016,65639307,124138636281.23145
2021-1Q,pincodes,110006,46104924,76683904356.11441
2021-1Q,pincodes,462008,45920869,76097617508.03972
2021-1Q,pincodes,800001,30937663,68071234953.67711
2021-1Q,pincodes,600003,25512152,44939868773.04714
2021-1Q,pincodes,400070,25090098,39416189451.46673
2021-1Q,pincodes,751001,24151383,44482729136.236565
2022-4Q,states,telangana,1819506832,2978252562916.1367
2022-4Q,states,maharashtra,1688775272,2210470839617.1724
2022-4Q,states,karnataka,1378910371,1904516622907.6313
2022-4Q,states,madhya pradesh,898828268,1302999857548.291
2022-4Q,states,rajasthan,865574848,1456956699398.6523
2022-4Q,states,uttar pradesh,836369071,1376378802069.4856
2022-4Q,states,andhra pradesh,690017077,1424725083041.6873
2022-4Q,states,bihar,517084649,936012149674.8281
2022-4Q,states,delhi,515203457,744915016018.5759
2022-4Q,states,odisha,445714743,652217064523.9851
2022-4Q,districts,hyderabad,1133829812,1753799022390.8733
2022-4Q,districts,bengaluru urban,876647100,1092079302011.8888
2022-4Q,districts,pune,544687754,590334491443.0927
2022-4Q,districts,jaipur,404922774,635458549842.8215
2022-4Q,districts,central delhi,280960656,386107883617.5307
2022-4Q,districts,mumbai suburban,248827345,310278216439.5166
2022-4Q,districts,chhindwara,245710341,350638062974.85736
2022-4Q,districts,patna,217434851,352393762150.454
2022-4Q,districts,khordha,208260666,268479766618.40594
2022-4Q,districts,rangareddy,191136402,295773661437.69385
2022-4Q,pincodes,500034,967508435,1501499856273.482
2022-4Q,pincodes,560027,290033166,383980424744.5664
2022-4Q,pincodes,411033,263248580,298971294541.89966
2022-4Q,pincodes,110006,258183697,349487194869.16797
2022-4Q,pincodes,302012,255709582,401447081116.4074
2022-4Q,pincodes,480001,240053791,341860974379.64307
2022-4Q,pincodes,400070,180508440,226320223720.0673
2022-4Q,pincodes,800001,167166031,269652534972.60126
2022-4Q,pincodes,751001,140210762,184650659638.9054
2022-4Q,pincodes,700039,119193886,219834107643.85355
2022-3Q,states,telangana,1628165401,2706325865752.0645
2022-3Q,states,maharashtra,1486389417,1947579187374.532
2022-3Q,states,karnataka,1189761328,1665918232610.9397
2022-3Q,states,rajasthan,767541360,1238489256318.2173
2022-3Q,states,madhya pradesh,731259559,1032908494249.5833
2022-3Q,states,uttar pradesh,703589072,1121370050898.7217
2022-3Q,states,andhra pradesh,642855035,1385077409712.0752
2022-3Q,states,delhi,475592161,677612647116.1133
2022-3Q,states,bihar,437367385,791446486557.8687
2022-3Q,states,tamil nadu,393496175,631879220373.2378
2022-3Q,districts,hyderabad,1018658174,1586047443981.7903
2022-3Q,districts,bengaluru urban,738035161,930886457807.8191
2022-3Q,districts,pune,505018506,549531791371.8348
2022-3Q,districts,jaipur,377469909,564818218571.2906
2022-3Q,districts,central delhi,243139962,327191972497.86694
2022-3Q,districts,mumbai suburban,197724164,247678975470.48975
2022-3Q,districts,patna,188665398,298860414441.2887
2022-3Q,districts,khordha,182514532,234713995654.54218
2022-3Q,districts,chhindwara,169367916,236429180484.7117
2022-3Q,districts,rangareddy,169029273,272598081405.12262
2022-3Q,pincodes,500034,832279716,1276247184385.9084
2022-3Q,pincodes,110006,222465526,294132832922.7636
2022-3Q,pincodes,302012,220682742,322546632329.7969
2022-3Q,pincodes,411033,217102802,241609848561.36987
2022-3Q,pincodes,480001,164538285,229267141662.06653
2022-3Q,pincodes,560027,160449902,217879670192.8064
2022-3Q,pincodes,800001,143978604,226644911906.22284
2022-3Q,pincodes,400070,137051260,170363147506.6858
2022-3Q,pincodes,751001,123281915,161654599037.78528
2022-3Q,pincodes,700039,82900479,153815755896.1881
2022-2Q,states,maharashtra,1407533113,2006272382175.9395
2022-2Q,states,karnataka,1277448960,1867146114059.214
2022-2Q,states,telangana,1063382557,1951414544517.106
2022-2Q,states,andhra pradesh,671134030,1479853948202.9197
2022-2Q,states,rajasthan,661170150,1152833518600.3425
2022-2Q,states,uttar pradesh,595298776,1067515182419.9624
2022-2Q,states,madhya pradesh,544899829,867024737328.533
2022-2Q,states,delhi,410634184,629855650458.2181
2022-2Q,states,bihar,360145029,754461454966.1152
2022-2Q,states,tamil nadu,354506937,590134727678.3616
2022-2Q,districts,bengaluru urban,786978117,1013933810932.2711
2022-2Q,districts,pune,520321567,620747087392.5974
2022-2Q,districts,hyderabad,446470234,775908693266.7238
2022-2Q,districts,jaipur,314511010,497492495896.22046
2022-2Q,districts,bhopal,185588829,255910395858.58392
2022-2Q,districts,rangareddy,161888380,267052522620.51453
2022-2Q,districts,central delhi,159034619,232911858055.0848
2022-2Q,districts,medchal malkajgiri,134114768,221257316347.71973
2022-2Q,districts,mumbai suburban,125227570,172590494011.93738
2022-2Q,districts,khordha,124986765,174299128204.99298
2022-2Q,pincodes,500001,296874552,536659038240.45605
2022-2Q,pincodes,560001,271515853,367011500113.69904
2022-2Q,pincodes,411004,262731186,356436998068.0399
2022-2Q,pincodes,302016,181570316,290408785688.9401
2022-2Q,pincodes,110006,139136098,200269818218.75818
2022-2Q,pincodes,462008,137837715,198147341166.69937
2022-2Q,pincodes,444510,93575752,168031360482.06287
2022-2Q,pincodes,800001,90260337,162195041186.36075
2022-2Q,pincodes,600003,75241472,108938946466.4329
2022-2Q,pincodes,751001,69262961,101369063330.80547
2022-1Q,states,maharashtra,1169506438,1681399273981.1611
2022-1Q,states,karnataka,1057855407,1566649488305.8838
2022-1Q,states,telangana,886453385,1670638169828.9993
2022-1Q,states,andhra pradesh,582603911,1294320646554.8625
2022-1Q,states,rajasthan,564962220,1022050180980.1362
2022-1Q,states,uttar pradesh,473953246,883123174117.0391
2022-1Q,states,madhya pradesh,472703058,747665139599.6421
2022-1Q,states,delhi,330999861,536964920836.2892
2022-1Q,states,tamil nadu,294573150,512789201600.616
2022-1Q,states,bihar,284390434,611411695731.1455
2022-1Q,districts,bengaluru urban,648380838,837938769153.0938
2022-1Q,districts,pune,424149132,508475101454.5797
2022-1Q,districts,hyderabad,372711414,661512502141.0775
2022-1Q,districts,jaipur,262950613,434507898653.22876
