state, date, registeredUsers, appOpens
andhra-pradesh,2020-3Q,15692405,696300382
andhra-pradesh,2020-2Q,14319675,494341698
andhra-pradesh,2020-1Q,13022060,486513773
himachal-pradesh,2024-2Q,3172766,291406931
himachal-pradesh,2024-1Q,3050141,231634797
himachal-pradesh,2021-4Q,2013747,47670982
himachal-pradesh,2021-3Q,1880626,52970288
himachal-pradesh,2021-2Q,1743151,43269977
himachal-pradesh,2021-1Q,1622951,24228094
himachal-pradesh,2022-4Q,2483076,72355717
himachal-pradesh,2022-3Q,2381576,108832538
himachal-pradesh,2022-2Q,2264407,102488683
himachal-pradesh,2022-1Q,2143483,77278278
himachal-pradesh,2019-4Q,985945,12637904
himachal-pradesh,2019-3Q,876184,10720741
himachal-pradesh,2019-2Q,772603,3321711
himachal-pradesh,2019-1Q,653205,0
himachal-pradesh,2023-4Q,2924952,163694473
himachal-pradesh,2023-3Q,2816046,189307777
himachal-pradesh,2023-2Q,2706470,136774775
himachal-pradesh,2023-1Q,2594668,111702044
himachal-pradesh,2018-4Q,526343,0
himachal-pradesh,2018-3Q,407634,0
himachal-pradesh,2018-2Q,315299,0
himachal-pradesh,2018-1Q,227373,0
himachal-pradesh,2020-4Q,1508766,22001148
himachal-pradesh,2020-3Q,1378634,18411750
himachal-pradesh,2020-2Q,1249867,16125580
himachal-pradesh,2020-1Q,1106025,14640104
kerala,2024-2Q,13008410,164717612
kerala,2024-1Q,12553296,173276966
kerala,2021-4Q,8473810,213542857
kerala,2021-3Q,7949425,116282717
kerala,2021-2Q,7416083,87814415
kerala,2021-1Q,6936943,108918733
kerala,2022-4Q,10382102,346981849
kerala,2022-3Q,9933977,104565833
kerala,2022-2Q,9442533,98876392
kerala,2022-1Q,8972299,94047893
kerala,2019-4Q,3503938,40046033
kerala,2019-3Q,2990963,31471694
kerala,2019-2Q,2550167,8673220
kerala,2019-1Q,2136624,0
kerala,2023-4Q,12084974,747303653
kerala,2023-3Q,11669143,145044427
kerala,2023-2Q,11237341,121310794
kerala,2023-1Q,10822723,116395880
kerala,2018-4Q,1757326,0
kerala,2018-3Q,1347598,0
kerala,2018-2Q,1066587,0
kerala,2018-1Q,784184,0
kerala,2020-4Q,6387169,91415273
kerala,2020-3Q,5582300,64309022
kerala,2020-2Q,4728844,45832953
kerala,2020-1Q,4078316,46396398
goa,2024-2Q,1073516,21359943
goa,2024-1Q,1035050,31168316
goa,2021-4Q,697178,28288254
goa,2021-3Q,653458,16575111
goa,2021-2Q,609106,12710361
goa,2021-1Q,570035,15467672
goa,2022-4Q,855202,43005212
goa,2022-3Q,817830,19712764
goa,2022-2Q,777779,19062157
goa,2022-1Q,738628,18678798
goa,2019-4Q,353546,6290543
goa,2019-3Q,317194,4753892
goa,2019-2Q,278940,1352232
goa,2019-1Q,238152,0
goa,2023-4Q,995923,64868903
goa,2023-3Q,961831,24017714
goa,2023-2Q,926020,20219644
goa,2023-1Q,892185,22829931
goa,2018-4Q,195350,0
goa,2018-3Q,153802,0
goa,2018-2Q,122174,0
goa,2018-1Q,91936,0
goa,2020-4Q,527584,10991118
goa,2020-3Q,474962,6129766
goa,2020-2Q,430639,5310126
goa,2020-1Q,391900,7147233
andaman-&-nicobar-islands,2024-2Q,112687,16876883
andaman-&-nicobar-islands,2024-1Q,108411,28538751
andaman-&-nicobar-islands,2021-4Q,71780,2112910
andaman-&-nicobar-islands,2021-3Q,66982,3121625
andaman-&-nicobar-islands,2021-2Q,62095,2248223
andaman-&-nicobar-islands,2021-1Q,57758,1004336
andaman-&-nicobar-islands,2022-4Q,88442,4354093
andaman-&-nicobar-islands,2022-3Q,84642,6068354
andaman-&-nicobar-islands,2022-2Q,80530,5180013
andaman-&-nicobar-islands,2022-1Q,76288,3847407
andaman-&-nicobar-islands,2019-4Q,25960,177012
andaman-&-nicobar-islands,2019-3Q,23931,171107
andaman-&-nicobar-islands,2019-2Q,21731,52640
andaman-&-nicobar-islands,2019-1Q,18596,0
andaman-&-nicobar-islands,2023-4Q,103978,9845960
andaman-&-nicobar-islands,2023-3Q,100255,20545079
andaman-&-nicobar-islands,2023-2Q,96329,14738676
andaman-&-nicobar-islands,2023-1Q,92484,11012664
andaman-&-nicobar-islands,2018-4Q,15222,0
andaman-&-nicobar-islands,2018-3Q,12149,0
andaman-&-nicobar-islands,2018-2Q,9405,0
andaman-&-nicobar-islands,2018-1Q,6740,0
andaman-&-nicobar-islands,2020-4Q,52396,887208
andaman-&-nicobar-islands,2020-3Q,41335,515565
andaman-&-nicobar-islands,2020-2Q,32710,305072
andaman-&-nicobar-islands,2020-1Q,28368,193586
west-bengal,2024-2Q,32540397,704276274
west-bengal,2024-1Q,31306843,633526507
west-bengal,2021-4Q,20644527,512335839
west-bengal,2021-3Q,19323278,348588666
west-bengal,2021-2Q,17979979,275341466
west-bengal,2021-1Q,16808799,316832674
west-bengal,2022-4Q,25536381,678066327
west-bengal,2022-3Q,24372048,256445748
west-bengal,2022-2Q,23124388,250276369
west-bengal,2022-1Q,21919787,236131065
west-bengal,2019-4Q,10885058,244326613
west-bengal,2019-3Q,9643222,176559011
west-bengal,2019-2Q,8612795,49514201
west-bengal,2019-1Q,7449425,0
west-bengal,2023-4Q,30064546,1467442959
west-bengal,2023-3Q,28966414,473450373
west-bengal,2023-2Q,27827662,350862668
west-bengal,2023-1Q,26732895,321102681
west-bengal,2018-4Q,6279278,0
west-bengal,2018-3Q,4851740,0
west-bengal,2018-2Q,3833795,0
west-bengal,2018-1Q,2604789,0
west-bengal,2020-4Q,15662093,291721919
west-bengal,2020-3Q,14448366,246554831
