date, registeredUsers, appOpens
2018-2Q,Lenovo,127831,0.04266671027984977
2018-2Q,Apple,123693,0.04128555197601097
2018-2Q,OnePlus,119948,0.04003556699585719
2018-2Q,Realme,116217,0.03879025485675072
2018-2Q,Huawei,86507,0.028873818605650935
2018-2Q,Others,353391,0.11795285503912503
2018-1Q,Xiaomi,503469,0.23920562688086114
2018-1Q,Samsung,408997,0.1943205714302004
2018-1Q,Vivo,256682,0.12195344444053795
2018-1Q,Oppo,160460,0.07623693790343194
2018-1Q,Motorola,100336,0.04767112926261216
2018-1Q,OnePlus,93643,0.04449118519313896
2018-1Q,Apple,93282,0.044319668711877966
2018-1Q,Lenovo,92559,0.043976160634449445
2018-1Q,Realme,82612,0.0392501926590946
2018-1Q,Huawei,59799,0.028411396296194234
2018-1Q,Others,252915,0.12016368658760121
2020-4Q,Xiaomi,3595631,0.23412735569248969
2020-4Q,Vivo,2971084,0.1934603524277839
2020-4Q,Samsung,2918795,0.19005558555882415
2020-4Q,Oppo,1665487,0.10844718694721944
2020-4Q,Realme,690401,0.04495504697157483
2020-4Q,Motorola,503120,0.032760356998814785
2020-4Q,Huawei,497653,0.0324043765732453
2020-4Q,Apple,417632,0.02719385715958224
2020-4Q,Lenovo,385136,0.02507789961260839
2020-4Q,OnePlus,347722,0.022641709445742318
2020-4Q,Others,1364925,0.08887627261211495
2020-3Q,Xiaomi,3217633,0.23583717931775472
2020-3Q,Vivo,2577603,0.18892602758642224
2020-3Q,Samsung,2574986,0.1887342139463102
2020-3Q,Oppo,1456520,0.10675598131293908
2020-3Q,Realme,592254,0.04340939839927596
2020-3Q,Motorola,466225,0.03417207274024732
2020-3Q,Huawei,452345,0.03315473482478883
2020-3Q,Apple,378323,0.02772927465345828
2020-3Q,Lenovo,357461,0.02620018938023818
2020-3Q,OnePlus,324336,0.023772284592805736
2020-3Q,Others,1245765,0.09130864324575945
2020-2Q,Xiaomi,2891155,0.23793975138727652
2020-2Q,Samsung,2285005,0.18805408966959009
2020-2Q,Vivo,2216953,0.18245346432732829
2020-2Q,Oppo,1270624,0.10457134213375167
2020-2Q,Realme,512202,0.0421538162222592
2020-2Q,Motorola,430995,0.035470544868455425
2020-2Q,Huawei,410511,0.03378472800031208
2020-2Q,Apple,352063,0.028974504200798203
2020-2Q,Lenovo,331665,0.02729576506408721
2020-2Q,OnePlus,305910,0.025176149098502763
2020-2Q,Others,1143703,0.09412584502763854
2020-1Q,Xiaomi,2602334,0.23935300939041063
2020-1Q,Samsung,2037120,0.18736672636540633
2020-1Q,Vivo,1937792,0.17823090609147887
2020-1Q,Oppo,1109430,0.10204124805194231
2020-1Q,Realme,450799,0.041462816563972084
2020-1Q,Motorola,395956,0.03641856125546891
2020-1Q,Huawei,370773,0.034102322511526464
2020-1Q,Apple,333073,0.030634816628723385
2020-1Q,Lenovo,308388,0.028364382073895952
2020-1Q,OnePlus,293970,0.027038268020361342
2020-1Q,Others,1032733,0.09498694304681372
2024-2Q,null,null,null
2024-1Q,null,null,null
2021-4Q,Vivo,104203,0.26118462113028024
2021-4Q,Xiaomi,85964,0.2154686023515965
2021-4Q,Samsung,61231,0.15347538493544513
2021-4Q,Oppo,50155,0.12571341202066358
2021-4Q,Realme,39211,0.09828229685459554
2021-4Q,Apple,7542,0.018904008642405438
2021-4Q,Tecno,6955,0.01743269425986871
2021-4Q,Infinix,6018,0.015084105543621839
2021-4Q,OnePlus,5332,0.013364647849549958
2021-4Q,Motorola,4828,0.012101372809007352
2021-4Q,Others,27524,0.0689888536029657
2021-3Q,Vivo,95723,0.25740707874172436
2021-3Q,Xiaomi,82367,0.2214916880448754
2021-3Q,Samsung,59023,0.15871773772837036
2021-3Q,Oppo,46708,0.1256016822902381
2021-3Q,Realme,32929,0.08854880954301726
2021-3Q,Apple,6802,0.01829114162323798
2021-3Q,Tecno,5777,0.015534831690303706
2021-3Q,Motorola,4807,0.012926421314746393
2021-3Q,Huawei,4785,0.012867261491795607
2021-3Q,Infinix,4734,0.012730118265864244
