date, name, registeredUsers, appOpens2024-2Q,puducherry,655486,2882669
2021-3Q,himachal pradesh,1880626,52970288
2021-3Q,west bengal,19323278,348588666
2021-3Q,gujarat,16946761,379987151
2021-3Q,sikkim,184693,5714565
2021-3Q,nagaland,241797,8661991
2021-3Q,mizoram,100647,5385718
2021-3Q,chhattisgarh,5206084,276486076
2021-3Q,jammu & kashmir,1359860,45025197
2021-3Q,goa,653458,16575111
2021-3Q,arunachal pradesh,293073,17209654
2021-3Q,delhi,11980061,223844376
2021-3Q,uttarakhand,3233509,90886530
2021-2Q,puducherry,369961,5178916
2021-2Q,tamil nadu,17804542,343968474
2021-2Q,uttar pradesh,31651894,673598864
2021-2Q,madhya pradesh,15940935,727741649
2021-2Q,andhra pradesh,19620905,1044705436
2021-2Q,tripura,472153,9500881
2021-2Q,lakshadweep,4896,40301
2021-2Q,manipur,335409,7269002
2021-2Q,maharashtra,39664697,1208083592
2021-2Q,dadra & nagar haveli & daman & diu,344994,5062983
2021-2Q,meghalaya,205686,7290804
2021-2Q,andaman & nicobar islands,62095,2248223
2021-2Q,haryana,10530594,234052506
2021-2Q,rajasthan,18980985,1072091232
2021-2Q,ladakh,75048,4391632
2021-2Q,punjab,5976548,85894089
2021-2Q,assam,3617056,102003890
2021-2Q,jharkhand,5701503,184234107
2021-2Q,odisha,9891029,367576494
2021-2Q,bihar,14972134,371198660
2021-2Q,kerala,7416083,87814415
2021-2Q,karnataka,25751023,1051089714
2021-2Q,chandigarh,448572,4733924
2021-2Q,telangana,18306880,905317692
2021-2Q,himachal pradesh,1743151,43269977
2021-2Q,west bengal,17979979,275341466
2021-2Q,gujarat,15735981,282432543
2021-2Q,sikkim,171740,4541121
2021-2Q,nagaland,223337,6716892
2021-2Q,mizoram,92552,4014597
2021-2Q,chhattisgarh,4837055,205784717
2021-2Q,jammu & kashmir,1261267,34274559
2021-2Q,goa,609106,12710361
2021-2Q,arunachal pradesh,270572,13025849
2021-2Q,delhi,11182699,164997774
2021-2Q,uttarakhand,3004040,78380036
2021-1Q,puducherry,346279,7914507
2021-1Q,tamil nadu,16632608,348801714
2021-1Q,uttar pradesh,29482075,639718324
2021-1Q,madhya pradesh,14839427,482500276
2021-1Q,andhra pradesh,18363733,957709447
2021-1Q,tripura,439636,6009660
2021-1Q,lakshadweep,4577,47283
2021-1Q,manipur,312668,3709227
2021-1Q,maharashtra,37077537,1101976484
2021-1Q,dadra & nagar haveli & daman & diu,321396,7302462
2021-1Q,meghalaya,190869,2939026
2021-1Q,andaman & nicobar islands,57758,1004336
2021-1Q,haryana,9827905,266686683
2021-1Q,rajasthan,17661088,632535059
2021-1Q,ladakh,69919,1184204
2021-1Q,punjab,5568777,81052268
2021-1Q,assam,3358448,56752364
2021-1Q,jharkhand,5313049,141731331
2021-1Q,odisha,9233009,301315474
2021-1Q,bihar,13946288,355792608
2021-1Q,kerala,6936943,108918733
2021-1Q,karnataka,24095832,1084917385
2021-1Q,chandigarh,419998,7919533
2021-1Q,telangana,17149069,920040042
2021-1Q,himachal pradesh,1622951,24228094
2021-1Q,west bengal,16808799,316832674
2021-1Q,gujarat,14670126,264732874
2021-1Q,sikkim,160213,2795331
2021-1Q,nagaland,207808,2980581
2021-1Q,mizoram,85750,1193214
2021-1Q,chhattisgarh,4514551,124648704
2021-1Q,jammu & kashmir,1174818,18834009
2021-1Q,goa,570035,15467672
2021-1Q,arunachal pradesh,251240,4796708
2021-1Q,delhi,10467210,281201600
2021-1Q,uttarakhand,2802122,59282260
2022-4Q,puducherry,520649,24144184
2022-4Q,tamil nadu,25136112,1229187623
2022-4Q,uttar pradesh,45648650,1682003791
2022-4Q,madhya pradesh,22913924,1388282818
2022-4Q,andhra pradesh,27778016,1673374802
2022-4Q,tripura,678741,16107610
2022-4Q,lakshadweep,6961,72377
2022-4Q,manipur,477292,12462732
2022-4Q,maharashtra,55954028,2982202696
2022-4Q,dadra & nagar haveli & daman & diu,500125,24066770
2022-4Q,meghalaya,295322,10105924
2022-4Q,andaman & nicobar islands,88442,4354093
2022-4Q,haryana,14994944,556898878
2022-4Q,rajasthan,27255927,1537424924
2022-4Q,ladakh,106337,3832339
2022-4Q,punjab,8462753,199899443
2022-4Q,assam,5247776,248781157
2022-4Q,jharkhand,8217638,396098729
2022-4Q,odisha,14127239,726099254
2022-4Q,bihar,21738117,834827202
2022-4Q,kerala,10382102,346981849
2022-4Q,karnataka,36081698,3011645011
2022-4Q,chandigarh,627563,15308862
2022-4Q,telangana,25656381,1731228513
2022-4Q,himachal pradesh,2483076,72355717
2022-4Q,west bengal,25536381,678066327
2022-4Q,gujarat,22412353,790984595
2022-4Q,sikkim,241968,8948864
2022-4Q,nagaland,321205,11171582
2022-4Q,mizoram,132870,3144551
2022-4Q,chhattisgarh,6846822,354976814
2022-4Q,jammu & kashmir,1793434,60205865
2022-4Q,goa,855202,43005212
2022-4Q,arunachal pradesh,390307,21775038
2022-4Q,delhi,15764149,401864749
2022-4Q,uttarakhand,4272049,160685547
2022-3Q,puducherry,496570,4186911
2022-3Q,tamil nadu,24019964,866738343
2022-3Q,uttar pradesh,43537920,1035702397
2022-3Q,madhya pradesh,21884220,2026371749
2022-3Q,andhra pradesh,26496330,1357005703
2022-3Q,tripura,649143,24123569
2022-3Q,lakshadweep,6645,18111
2022-3Q,manipur,457063,26011343
2022-3Q,maharashtra,53432602,2638663712
2022-3Q,dadra & nagar haveli & daman & diu,474807,3837881
2022-3Q,meghalaya,283487,32596135
2022-3Q,andaman & nicobar islands,84642,6068354
2022-3Q,haryana,14303933,265475161
2022-3Q,rajasthan,26042948,3299787866
2022-3Q,ladakh,102299,19734781
2022-3Q,punjab,8097582,154625731
2022-3Q,assam,5016910,410760707
2022-3Q,jharkhand,7836429,414228860
2022-3Q,odisha,13493282,725475924
2022-3Q,bihar,20694376,336807385
2022-3Q,kerala,9933977,104565833
