date, name, count, amount
2021-3Q,karnataka,47468,48078366.0
2021-3Q,chandigarh,494,469634.0
2021-3Q,telangana,27080,20925217.0
2021-3Q,himachal pradesh,1759,2444545.0
2021-3Q,west bengal,24839,21424337.0
2021-3Q,gujarat,15348,12341903.0
2021-3Q,sikkim,106,140552.0
2021-3Q,nagaland,91,123643.0
2021-3Q,mizoram,81,83641.0
2021-3Q,chhattisgarh,4676,3568837.0
2021-3Q,jammu & kashmir,1452,2139133.0
2021-3Q,goa,1214,1385986.0
2021-3Q,arunachal pradesh,212,371051.0
2021-3Q,delhi,16679,15007079.0
2021-3Q,uttarakhand,4111,4646571.0
2021-2Q,puducherry,526,508277.0
2021-2Q,tamil nadu,17682,16444344.0
2021-2Q,uttar pradesh,25952,25137571.0
2021-2Q,madhya pradesh,14803,9787391.0
2021-2Q,andhra pradesh,33205,22730687.0
2021-2Q,tripura,381,409934.0
2021-2Q,lakshadweep,5,6962.0
2021-2Q,manipur,127,81332.0
2021-2Q,maharashtra,70381,46763103.0
2021-2Q,dadra & nagar haveli & daman & diu,368,275638.0
2021-2Q,meghalaya,139,148434.0
2021-2Q,andaman & nicobar islands,137,181504.0
2021-2Q,haryana,12516,11272453.0
2021-2Q,rajasthan,18281,14357445.0
2021-2Q,ladakh,46,86251.0
2021-2Q,punjab,4047,3768919.0
2021-2Q,assam,3265,3008122.0
2021-2Q,jharkhand,5180,5084230.0
2021-2Q,odisha,7942,5832924.0
2021-2Q,bihar,14301,13301581.0
2021-2Q,kerala,9530,9676588.0
2021-2Q,karnataka,40969,39501006.0
2021-2Q,chandigarh,378,310943.0
2021-2Q,telangana,28870,20935651.0
2021-2Q,himachal pradesh,1210,1402338.0
2021-2Q,west bengal,15200,12396029.0
2021-2Q,gujarat,14676,10263998.0
2021-2Q,sikkim,93,122064.0
2021-2Q,nagaland,85,139479.0
2021-2Q,mizoram,187,124805.0
2021-2Q,chhattisgarh,5055,3813417.0
2021-2Q,jammu & kashmir,1197,1832089.0
2021-2Q,goa,1016,1028339.0
2021-2Q,arunachal pradesh,204,224928.0
2021-2Q,delhi,13292,10840929.0
2021-2Q,uttarakhand,2742,3265717.0
2021-1Q,puducherry,372,351827.0
2021-1Q,tamil nadu,14406,11180849.0
2021-1Q,uttar pradesh,24103,18027573.0
2021-1Q,madhya pradesh,14427,5567927.0
2021-1Q,andhra pradesh,22105,12749874.0
2021-1Q,tripura,360,191531.0
2021-1Q,lakshadweep,4,5225.0
2021-1Q,manipur,136,72254.0
2021-1Q,maharashtra,55792,33137753.0
2021-1Q,dadra & nagar haveli & daman & diu,467,285691.0
2021-1Q,meghalaya,107,128776.0
2021-1Q,andaman & nicobar islands,225,244266.0
2021-1Q,haryana,11038,7297880.0
2021-1Q,rajasthan,17800,8074225.0
2021-1Q,ladakh,32,34530.0
2021-1Q,punjab,3783,2558380.0
2021-1Q,assam,3167,2334419.0
2021-1Q,jharkhand,4879,3274851.0
2021-1Q,odisha,8236,4383330.0
2021-1Q,bihar,12554,8796619.0
2021-1Q,kerala,5731,5040506.0
2021-1Q,karnataka,37595,30183325.0
2021-1Q,chandigarh,338,238576.0
2021-1Q,telangana,28298,14810947.0
2021-1Q,himachal pradesh,1064,906492.0
2021-1Q,west bengal,15488,11172042.0
2021-1Q,gujarat,12673,7288104.0
2021-1Q,sikkim,122,111777.0
2021-1Q,nagaland,79,42973.0
2021-1Q,mizoram,415,302841.0
2021-1Q,chhattisgarh,4712,2620468.0
2021-1Q,jammu & kashmir,1105,1546288.0
2021-1Q,goa,879,827384.0
2021-1Q,arunachal pradesh,194,131611.0
2021-1Q,delhi,12822,9655261.0
2021-1Q,uttarakhand,2607,2719327.0
2022-4Q,puducherry,2331,2693130.0
2022-4Q,tamil nadu,125491,146457790.0
2022-4Q,uttar pradesh,77022,116755813.0
2022-4Q,madhya pradesh,29234,42712883.0
2022-4Q,andhra pradesh,44329,58043239.0
2022-4Q,tripura,1508,2112534.0
2022-4Q,lakshadweep,15,27135.0
2022-4Q,manipur,271,620655.0
2022-4Q,maharashtra,125900,174915648.0
2022-4Q,dadra & nagar haveli & daman & diu,871,1272628.0
2022-4Q,meghalaya,627,1189529.0
2022-4Q,andaman & nicobar islands,901,1441210.0
2022-4Q,haryana,37971,56627115.0
2022-4Q,rajasthan,40926,60792838.0
2022-4Q,ladakh,162,410091.0
2022-4Q,punjab,12187,21727831.0
2022-4Q,assam,18826,29239168.0
2022-4Q,jharkhand,16779,23147805.0
2022-4Q,odisha,24538,33565401.0
2022-4Q,bihar,33895,43914519.0
2022-4Q,kerala,65563,103982997.0
2022-4Q,karnataka,133971,185063287.0
2022-4Q,chandigarh,1403,2024528.0
2022-4Q,telangana,64655,88544127.0
2022-4Q,himachal pradesh,4565,9060436.0
2022-4Q,west bengal,54277,70466433.0
2022-4Q,gujarat,36418,50629325.0
2022-4Q,sikkim,306,667214.0
2022-4Q,nagaland,367,700864.0
2022-4Q,mizoram,350,612551.0
2022-4Q,chhattisgarh,11994,18137856.0
2022-4Q,jammu & kashmir,5031,10111183.0
2022-4Q,goa,4388,6190669.0
2022-4Q,arunachal pradesh,613,1464572.0
2022-4Q,delhi,48908,60603173.0
2022-4Q,uttarakhand,8750,13817747.0
2022-3Q,puducherry,1585,2025529.0
2022-3Q,tamil nadu,64356,79747520.0
2022-3Q,uttar pradesh,64514,87703512.0
2022-3Q,madhya pradesh,22733,29185118.0
2022-3Q,andhra pradesh,39301,48791931.0
2022-3Q,tripura,1590,2105984.0
2022-3Q,lakshadweep,38,41504.0
2022-3Q,manipur,200,403213.0
2022-3Q,maharashtra,90958,113835208.0
2022-3Q,dadra & nagar haveli & daman & diu,707,983776.0
2022-3Q,meghalaya,600,1039491.0
2022-3Q,andaman & nicobar islands,643,902466.0
2022-3Q,haryana,35346,45402800.0
2022-3Q,rajasthan,33975,45565544.0
2022-3Q,ladakh,137,369742.0
2022-3Q,punjab,12370,19381895.0
2022-3Q,assam,14149,22543564.0
2022-3Q,jharkhand,14388,18156857.0
2022-3Q,odisha,18898,23308531.0
2022-3Q,bihar,28511,34704251.0
2022-3Q,kerala,54587,85390924.0
2022-3Q,karnataka,110273,144605784.0
2022-3Q,chandigarh,1533,1998439.0
2022-3Q,telangana,51465,64798126.0
2022-3Q,himachal pradesh,3641,6161692.0
2022-3Q,west bengal,47853,59092307.0
2022-3Q,gujarat,31302,37557227.0
2022-3Q,sikkim,243,474940.0
2022-3Q,nagaland,210,439669.0
2022-3Q,mizoram,310,471306.0
2022-3Q,chhattisgarh,8849,12119470.0
2022-3Q,jammu & kashmir,4794,8281826.0
2022-3Q,goa,3157,4142108.0
2022-3Q,arunachal pradesh,510,1300304.0
2022-3Q,delhi,35944,41570160.0
2022-3Q,uttarakhand,6784,10070172.0
2022-2Q,puducherry,1156,1597786.0
2022-2Q,tamil nadu,46714,61835120.0
2022-2Q,uttar pradesh,55133,77434953.0
2022-2Q,madhya pradesh,14629,20159098.0
2022-2Q,andhra pradesh,32185,41708072.0
2022-2Q,tripura,1021,1509105.0
2022-2Q,lakshadweep,18,27463.0
2022-2Q,manipur,218,553649.0
2022-2Q,maharashtra,80935,104603934.0
2022-2Q,dadra & nagar haveli & daman & diu,438,686857.0
2022-2Q,meghalaya,379,789094.0
2022-2Q,andaman & nicobar islands,501,779740.0
2022-2Q,haryana,25352,33759068.0
2022-2Q,rajasthan,24333,33748931.0
2022-2Q,ladakh,113,269446.0
2022-2Q,punjab,9175,15465367.0
2022-2Q,assam,9228,15357811.0
2022-2Q,jharkhand,9477,13464840.0
2022-2Q,odisha,12371,16631095.0
2022-2Q,bihar,21892,28212833.0
2022-2Q,kerala,35667,59920203.0
2022-2Q,karnataka,93385,123228632.0
2022-2Q,chandigarh,1330,1874959.0
2022-2Q,telangana,45600,58056956.0
2022-2Q,himachal pradesh,2831,5371078.0
2022-2Q,west bengal,33542,41737021.0
2022-2Q,gujarat,25381,32090965.0
2022-2Q,sikkim,160,383709.0
2022-2Q,nagaland,186,380878.0
2022-2Q,mizoram,76,115090.0
2022-2Q,chhattisgarh,7008,10119964.0
2022-2Q,jammu & kashmir,4071,7729792.0
2022-2Q,goa,3524,5093510.0
2022-2Q,arunachal pradesh,564,1360231.0
2022-2Q,delhi,26378,31787281.0
2022-2Q,uttarakhand,5773,9168313.0
2022-1Q,puducherry,1199,1663404.0
2022-1Q,tamil nadu,47621,64969045.0
2022-1Q,uttar pradesh,45996,73014969.0
2022-1Q,madhya pradesh,13791,19901462.0
2022-1Q,andhra pradesh,29954,42648157.0
2022-1Q,tripura,907,1493401.0
2022-1Q,lakshadweep,27,34664.0
2022-1Q,manipur,177,517854.0
2022-1Q,maharashtra,88015,117411928.0
2022-1Q,dadra & nagar haveli & daman & diu,493,720741.0
2022-1Q,meghalaya,337,729211.0
2022-1Q,andaman & nicobar islands,768,1131287.0
2022-1Q,haryana,22783,32526943.0
2022-1Q,rajasthan,21517,31576932.0
2022-1Q,ladakh,75,193935.0
2022-1Q,punjab,7475,13155682.0
2022-1Q,assam,16230,27447766.0
2022-1Q,jharkhand,9373,13819466.0
2022-1Q,odisha,9627,14539309.0
2022-1Q,bihar,20253,27755736.0
2022-1Q,kerala,37110,64172190.0
2022-1Q,karnataka,95640,130733580.0
2022-1Q,chandigarh,792,1150932.0
2022-1Q,telangana,36325,51942016.0
2022-1Q,himachal pradesh,2768,5234739.0
2022-1Q,west bengal,38779,51160527.0
2022-1Q,gujarat,22221,29953433.0
2022-1Q,sikkim,239,685987.0
2022-1Q,nagaland,242,529223.0
2022-1Q,mizoram,85,189428.0
2022-1Q,chhattisgarh,6612,10139190.0
2022-1Q,jammu & kashmir,3584,7244267.0
2022-1Q,goa,2634,3865245.0
2022-1Q,arunachal pradesh,355,894107.0
2022-1Q,delhi,28232,35442069.0
2022-1Q,uttarakhand,5339,8824948.0
2023-4Q,puducherry,2447,3419395.0
2023-4Q,tamil nadu,104871,139433796.0
2023-4Q,uttar pradesh,92125,165509877.0
2023-4Q,madhya pradesh,40784,73801070.0
2023-4Q,andhra pradesh,41798,62342423.0
2023-4Q,tripura,2237,3169741.0
2023-4Q,lakshadweep,53,78346.0
2023-4Q,manipur,225,476626.0
2023-4Q,maharashtra,136968,217657114.0
2023-4Q,dadra & nagar haveli & daman & diu,1207,1973867.0
2023-4Q,meghalaya,806,1843364.0
2023-4Q,andaman & nicobar islands,1145,1757821.0
2023-4Q,haryana,47506,80747159.0
2023-4Q,rajasthan,49741,94701652.0
2023-4Q,ladakh,242,718967.0
2023-4Q,punjab,13777,28715828.0
2023-4Q,assam,23168,38731734.0
2023-4Q,jharkhand,22398,33484644.0
2023-4Q,odisha,25065,39753392.0
2023-4Q,bihar,41447,57624322.0
2023-4Q,kerala,73543,121905046.0
2023-4Q,karnataka,156076,248056311.0
2023-4Q,chandigarh,1767,3053934.0
2023-4Q,telangana,63993,105605522.0
2023-4Q,himachal pradesh,5211,11898824.0
2023-4Q,west bengal,72712,100365562.0
2023-4Q,gujarat,41128,66735446.0
2023-4Q,sikkim,324,793745.0
2023-4Q,nagaland,331,822973.0
2023-4Q,mizoram,312,557950.0
2023-4Q,chhattisgarh,17300,29704673.0
2023-4Q,jammu & kashmir,6264,13932309.0
2023-4Q,goa,4883,7411001.0
2023-4Q,arunachal pradesh,809,2105408.0
2023-4Q,delhi,56336,77332401.0
2023-4Q,uttarakhand,10040,19045152.0
2023-3Q,puducherry,2232,2891647.0
2023-3Q,tamil nadu,91069,114625593.0
2023-3Q,uttar pradesh,78940,121483170.0
2023-3Q,madhya pradesh,29300,46963348.0
2023-3Q,andhra pradesh,43150,57802396.0
2023-3Q,tripura,2071,2899393.0
2023-3Q,lakshadweep,12,12407.0
2023-3Q,manipur,76,193021.0
2023-3Q,maharashtra,104872,151171882.0
2023-3Q,dadra & nagar haveli & daman & diu,969,1333103.0
2023-3Q,meghalaya,809,1728076.0
2023-3Q,andaman & nicobar islands,795,1251145.0
2023-3Q,haryana,42815,61782311.0
2023-3Q,rajasthan,39960,64328784.0
2023-3Q,ladakh,232,649027.0
2023-3Q,punjab,14048,24461488.0
2023-3Q,assam,22593,35618158.0
2023-3Q,jharkhand,19478,25165702.0
2023-3Q,odisha,20263,29008350.0
2023-3Q,bihar,36550,45832355.0
2023-3Q,kerala,66059,110021582.0
2023-3Q,karnataka,139699,199448538.0
2023-3Q,chandigarh,1883,2660630.0
2023-3Q,telangana,61523,84397465.0
