state, date, name, count, amount
tamil-nadu,2021-4Q,erode district,677,1113805.0
tamil-nadu,2021-4Q,karur district,247,344098.0
tamil-nadu,2021-4Q,kallakkurichi district,199,297923.0
tamil-nadu,2021-4Q,viluppuram district,406,584387.0
tamil-nadu,2021-4Q,pudukkottai district,207,259149.0
tamil-nadu,2021-4Q,perambalur district,73,89288.0
tamil-nadu,2021-4Q,coimbatore district,2943,4272322.0
tamil-nadu,2021-4Q,virudhunagar district,405,514159.0
tamil-nadu,2021-4Q,dindigul district,552,706258.0
tamil-nadu,2021-4Q,sivaganga district,201,314440.0
tamil-nadu,2021-4Q,tenkasi district,189,251325.0
tamil-nadu,2021-4Q,chengalpattu district,2877,3652362.0
tamil-nadu,2021-4Q,kanniyakumari district,412,656152.0
tamil-nadu,2021-4Q,tirunelveli district,499,652318.0
tamil-nadu,2021-4Q,thiruvallur district,3895,4604901.0
tamil-nadu,2021-4Q,theni district,286,427075.0
tamil-nadu,2021-4Q,ranipet district,326,452834.0
tamil-nadu,2021-4Q,namakkal district,396,579361.0
tamil-nadu,2021-4Q,vellore district,544,777861.0
tamil-nadu,2021-4Q,thiruvarur district,164,231529.0
tamil-nadu,2021-3Q,tiruchirappalli district,521,481815.0
tamil-nadu,2021-3Q,ramanathapuram district,163,244272.0
tamil-nadu,2021-3Q,krishnagiri district,840,869170.0
tamil-nadu,2021-3Q,cuddalore district,401,508465.0
tamil-nadu,2021-3Q,kancheepuram district,1442,1367259.0
tamil-nadu,2021-3Q,tiruppur district,1193,1061146.0
tamil-nadu,2021-3Q,dharmapuri district,205,223645.0
tamil-nadu,2021-3Q,thoothukkudi district,234,266628.0
tamil-nadu,2021-3Q,thanjavur district,271,310261.0
tamil-nadu,2021-3Q,madurai district,881,881288.0
tamil-nadu,2021-3Q,tiruvannamalai district,300,330451.0
tamil-nadu,2021-3Q,salem district,805,1004135.0
tamil-nadu,2021-3Q,nagapattinam district,181,220779.0
tamil-nadu,2021-3Q,tirupathur district,175,185284.0
tamil-nadu,2021-3Q,ariyalur district,86,75506.0
tamil-nadu,2021-3Q,chennai district,4367,3861435.0
tamil-nadu,2021-3Q,the nilgiris district,134,183427.0
tamil-nadu,2021-3Q,erode district,625,682937.0
tamil-nadu,2021-3Q,karur district,156,146882.0
tamil-nadu,2021-3Q,kallakkurichi district,112,149462.0
tamil-nadu,2021-3Q,viluppuram district,257,274851.0
tamil-nadu,2021-3Q,pudukkottai district,100,117707.0
tamil-nadu,2021-3Q,perambalur district,52,57076.0
tamil-nadu,2021-3Q,coimbatore district,2007,1991798.0
tamil-nadu,2021-3Q,virudhunagar district,239,222700.0
tamil-nadu,2021-3Q,dindigul district,325,337226.0
tamil-nadu,2021-3Q,sivaganga district,157,182791.0
tamil-nadu,2021-3Q,tenkasi district,143,164321.0
tamil-nadu,2021-3Q,chengalpattu district,1893,2088255.0
tamil-nadu,2021-3Q,kanniyakumari district,224,264969.0
tamil-nadu,2021-3Q,tirunelveli district,358,349274.0
tamil-nadu,2021-3Q,thiruvallur district,2885,2839315.0
tamil-nadu,2021-3Q,theni district,186,207018.0
tamil-nadu,2021-3Q,ranipet district,218,258520.0
tamil-nadu,2021-3Q,namakkal district,434,419609.0
tamil-nadu,2021-3Q,vellore district,377,383363.0
tamil-nadu,2021-3Q,thiruvarur district,160,189878.0
tamil-nadu,2021-2Q,tiruchirappalli district,429,442345.0
tamil-nadu,2021-2Q,ramanathapuram district,134,143490.0
tamil-nadu,2021-2Q,krishnagiri district,606,582625.0
tamil-nadu,2021-2Q,cuddalore district,286,305673.0
tamil-nadu,2021-2Q,kancheepuram district,1140,1118225.0
tamil-nadu,2021-2Q,tiruppur district,861,699383.0
tamil-nadu,2021-2Q,dharmapuri district,217,189833.0
tamil-nadu,2021-2Q,thoothukkudi district,256,259438.0
tamil-nadu,2021-2Q,thanjavur district,271,291354.0
tamil-nadu,2021-2Q,madurai district,793,701143.0
tamil-nadu,2021-2Q,tiruvannamalai district,219,234516.0
tamil-nadu,2021-2Q,salem district,590,519803.0
tamil-nadu,2021-2Q,nagapattinam district,160,174414.0
tamil-nadu,2021-2Q,tirupathur district,154,147580.0
tamil-nadu,2021-2Q,ariyalur district,63,66251.0
tamil-nadu,2021-2Q,chennai district,2673,2195652.0
tamil-nadu,2021-2Q,the nilgiris district,88,73857.0
tamil-nadu,2021-2Q,erode district,455,425242.0
tamil-nadu,2021-2Q,karur district,160,158067.0
tamil-nadu,2021-2Q,kallakkurichi district,138,131939.0
tamil-nadu,2021-2Q,viluppuram district,258,225443.0
tamil-nadu,2021-2Q,pudukkottai district,102,98881.0
tamil-nadu,2021-2Q,perambalur district,41,37167.0
tamil-nadu,2021-2Q,coimbatore district,1592,1477281.0
tamil-nadu,2021-2Q,virudhunagar district,245,213707.0
tamil-nadu,2021-2Q,dindigul district,334,314542.0
tamil-nadu,2021-2Q,sivaganga district,138,129997.0
tamil-nadu,2021-2Q,tenkasi district,110,101781.0
tamil-nadu,2021-2Q,chengalpattu district,1477,1417438.0
tamil-nadu,2021-2Q,kanniyakumari district,226,287318.0
tamil-nadu,2021-2Q,tirunelveli district,335,343854.0
tamil-nadu,2021-2Q,thiruvallur district,2066,1899615.0
tamil-nadu,2021-2Q,theni district,153,183132.0
tamil-nadu,2021-2Q,ranipet district,184,188059.0
tamil-nadu,2021-2Q,namakkal district,311,258004.0
tamil-nadu,2021-2Q,vellore district,327,317091.0
tamil-nadu,2021-2Q,thiruvarur district,90,90204.0
tamil-nadu,2021-1Q,tiruchirappalli district,327,209424.0
tamil-nadu,2021-1Q,ramanathapuram district,100,90430.0
tamil-nadu,2021-1Q,krishnagiri district,556,461927.0
tamil-nadu,2021-1Q,cuddalore district,246,198231.0
tamil-nadu,2021-1Q,kancheepuram district,934,721686.0
tamil-nadu,2021-1Q,tiruppur district,710,476739.0
tamil-nadu,2021-1Q,dharmapuri district,184,125290.0
tamil-nadu,2021-1Q,thoothukkudi district,156,115272.0
tamil-nadu,2021-1Q,thanjavur district,193,182684.0
tamil-nadu,2021-1Q,madurai district,502,410270.0
tamil-nadu,2021-1Q,tiruvannamalai district,201,121229.0
tamil-nadu,2021-1Q,salem district,479,373355.0
tamil-nadu,2021-1Q,nagapattinam district,116,101836.0
tamil-nadu,2021-1Q,tirupathur district,121,74460.0
tamil-nadu,2021-1Q,ariyalur district,54,40268.0
tamil-nadu,2021-1Q,chennai district,2570,2012553.0
tamil-nadu,2021-1Q,the nilgiris district,66,57500.0
tamil-nadu,2021-1Q,erode district,368,274543.0
tamil-nadu,2021-1Q,karur district,100,61050.0
tamil-nadu,2021-1Q,kallakkurichi district,103,92058.0
tamil-nadu,2021-1Q,viluppuram district,220,173619.0
tamil-nadu,2021-1Q,pudukkottai district,81,56018.0
tamil-nadu,2021-1Q,perambalur district,50,41473.0
tamil-nadu,2021-1Q,coimbatore district,1256,882626.0
